SKU,Barcode,Name,Price
683,75062835,Desodorante en barra original Dove 45g,2400
684,78004498,Desodorante en barra Bamboo y Aloe Vera Rexona 50g,2400
685,75029982,Desodorante en barra Active Emotion Rexona 50g,2400
686,75053475,Desodorante en barra Invisible Rexona 50g,2400
687,7509546063843,Desodorante Spray Powder Fresh LadySpeedStick 150ml,3200
688,7509546063515,Desodorante Spray Pro5 LadySpeedStick 150ml,3200
689,7509546067902,Desodorante Spray Derma Renueva LadySpeedStick 150ml,2990
690,7509546071534,Desodorante Spray Derma Nutre LadySpeedStick 150ml,2990
691,7509546067919,Desodorante Spray Derma Aclarado LadySpeedStick 150ml,2990
692,7506306241152,Desodorante Spray Tono Uniforme Dove 150ml,2700
693,7791293048499,Desodorante Spray go Fresh granada Dove 150ml,2700
694,7791293048505,Desodorante Spray go Fresh Pera y aloe vera Dove 150ml,2700
695,7791293049571,Desodorante Spray Futbol Fanaticas Rexona 150ml,2600
696,7791293033273,Desodorante Spray Sensitive Dove 150ml,2700
697,7791293049533,Desodorante Spray Cotton Dry Dove 150ml,2600
698,7500435232340,Desodorante en barra Ocean Legend Old Spice 50g,2700
699,7500435156875,Desodorante en barra Sudor Defense Old Spice 50g,2700
700,75024956,Desodorante en barra 48h Rexona 50g,2450
701,75028978,Desodorante en barra 48h Invisible Rexona 50g,2450
